7,30,5,2,4,0,6,13,30,1,5,180527030,7,0
0,31,6,3,5,1,7,14,31,2,0,180527031,31,8
1,32,7,4,6,2,8,15,0,3,8,180527032,15,7
2,33,8,5,7,3,9,0,1,4,7,180527033,2,0
0,34,9,6,8,4,10,1,2,5,0,180527034,9,2
1,35,0,7,9,5,11,2,3,6,2,180527035,2,7
2,36,1,8,10,6,12,0,4,7,7,180527036,10,4
3,37,2,9,0,7,13,1,5,8,4,180527037,3,0
0,38,3,10,1,8,14,2,6,9,0,180527038,2,7
1,39,4,11,2,9,15,0,7,10,7,180527039,11,3
2,40,5,0,3,10,16,1,8,11,3,180527040,0,3
3,41,6,0,4,11,17,2,9,12,3,180527041,41,1
4,0,7,1,5,12,18,3,10,13,1,180527042,13,9
5,1,8,2,6,13,19,4,11,0,9,180527043,19,6
6,2,9,3,7,14,0,5,12,1,6,180527044,12,8
7,3,10,4,8,15,1,6,0,2,8,180527045,3,1
8,0,11,5,9,16,2,7,1,3,1,180527046,8,0
0,1,12,6,10,17,3,8,2,4,0,180527047,3,6
1,2,13,7,11,18,0,9,3,5,6,180527048,7,3
2,3,14,0,12,19,1,10,4,6,3,180527049,2,0
0,4,15,1,13,20,2,11,5,7,0,180527050,11,7
1,5,16,2,14,21,3,0,6,8,7,180527051,16,2
2,6,0,3,15,22,4,1,7,9,2,180527052,7,8
3,7,1,4,16,23,5,2,0,10,8,180527053,3,0
0,8,2,5,17,24,6,3,1,11,0,180527054,8,1
1,0,3,6,18,25,7,4,2,12,1,180527055,25,5
2,1,4,7,19,0,8,5,3,13,5,180527056,4,2
3,2,0,8,20,1,9,6,4,14,2,180527057,20,4
4,3,1,9,0,2,10,7,5,15,4,180527058,7,7
5,4,2,10,1,3,11,0,6,16,7,180527059,11,6
6,5,3,11,2,4,0,1,7,17,6,180527060,0,6
7,6,4,12,3,5,0,2,8,18,6,180527061,4,2
8,7,0,13,4,6,1,3,9,19,2,180527062,13,3
9,8,1,0,5,7,2,4,10,20,3,180527063,0,3
10,9,2,0,6,8,3,5,11,21,3,180527064,6,4
11,10,3,1,0,9,4,6,12,22,4,180527065,9,5
12,11,4,2,1,0,5,7,13,23,5,180527066,1,4
13,12,5,3,0,1,6,8,14,24,4,180527067,1,5
14,13,6,4,1,0,7,9,15,25,5,180527068,25,9
15,14,7,5,2,1,8,10,16,0,9,180527069,14,1
16,0,8,6,3,2,9,11,17,1,1,180527070,0,1
17,0,9,7,4,3,10,12,18,2,1,180527071,2,9
18,1,10,8,5,4,11,13,19,0,9,180527072,1,1
19,0,11,9,6,5,12,14,20,1,1,180527073,5,5
20,1,12,10,7,0,13,15,21,2,5,180527074,2,9
21,2,13,11,8,1,14,16,22,0,9,180527075,13,2
22,3,0,12,9,2,15,17,23,1,2,180527076,22,0
0,4,1,13,10,3,16,18,24,2,0,180527077,13,3
1,5,2,0,11,4,17,19,25,3,3,180527078,25,8
2,6,3,1,12,5,18,20,0,4,8,180527079,2,0
0,7,4,2,13,6,19,21,1,5,0,180527080,2,3
1,8,5,0,14,7,20,22,2,6,3,180527081,14,4
2,9,6,1,0,8,21,23,3,7,4,180527082,23,7
3,10,7,2,1,9,22,0,4,8,7,180527083,4,8
4,11,8,3,2,10,23,1,0,9,8,180527084,2,4
5,12,9,4,0,11,24,2,1,10,4,180527085,10,9
6,13,10,5,1,12,25,3,2,0,9,180527086,25,6
7,14,11,6,2,13,0,4,3,1,6,180527087,6,3
8,15,12,0,3,14,1,5,4,2,3,180527088,14,5
9,16,13,1,4,0,2,6,5,3,5,180527089,0,5
10,17,14,2,5,0,3,7,6,4,5,180527090,6,8
11,18,15,3,6,1,4,8,0,5,8,180527091,3,3
12,19,16,0,7,2,5,9,1,6,3,180527092,2,5
13,20,17,1,8,0,6,10,2,7,5,180527093,17,2
14,21,0,2,9,1,7,11,3,8,2,180527094,1,5
15,22,1,3,10,0,8,12,4,9,5,180527095,15,0
0,23,2,4,11,1,9,13,5,10,0,180527096,9,6
1,24,3,5,12,2,0,14,6,11,6,180527097,12,4
2,25,4,6,0,3,1,15,7,12,4,180527098,12,9
3,26,5,7,1,4,2,16,8,0,9,180527099,3,0
0,27,6,8,2,5,3,17,9,1,0,180527100,9,8
1,28,7,9,3,6,4,18,0,2,8,180527101,4,6
2,29,8,10,4,7,0,19,1,3,6,180527102,10,3
3,30,9,0,5,8,1,20,2,4,3,180527103,4,9
4,31,10,1,6,9,2,21,3,0,9,180527104,0,9
5,32,11,2,7,10,3,22,4,0,9,180527105,22,7
6,33,12,3,8,11,4,0,5,1,7,180527106,0,7
7,34,13,4,9,12,5,0,6,2,7,180527107,6,8
8,35,14,5,10,13,6,1,0,3,8,180527108,6,6
9,36,15,6,11,14,0,2,1,4,6,180527109,9,0
0,37,16,7,12,15,1,3,2,5,0,180527110,5,9
1,38,17,8,13,16,2,4,3,0,9,180527111,3,8
2,39,18,9,14,17,3,5,0,1,8,180527112,18,2
3,40,0,10,15,18,4,6,1,2,2,180527113,3,0
0,41,1,11,16,19,5,7,2,3,0,180527114,11,3
1,42,2,0,17,20,6,8,3,4,3,180527115,20,5
2,43,3,1,18,0,7,9,4,5,5,180527116,2,0
0,44,4,2,19,1,8,10,5,6,0,180527117,4,2
1,45,0,3,20,2,9,11,6,7,2,180527118,6,8
2,46,1,4,21,3,10,12,0,8,8,180527119,3,5
27,13,4,3,9,1,6,2,15,0,9,180528030,4,2
28,14,0,4,10,2,7,3,16,1,2,180528031,14,1
29,0,1,5,11,3,8,4,17,2,1,180528032,17,8
30,1,2,6,12,4,9,5,0,3,8,180528033,12,4
31,2,3,7,0,5,10,6,1,4,4,180528034,31,0
0,3,4,8,1,6,11,7,2,5,0,180528035,3,1
1,0,5,9,2,7,12,8,3,6,1,180528036,9,3
2,1,6,0,3,8,13,9,4,7,3,180528037,9,7
3,2,7,1,4,9,14,0,5,8,7,180528038,4,4
4,3,8,2,0,10,15,1,6,9,4,180528039,3,1
5,0,9,3,1,11,16,2,7,10,1,180528040,0,1
6,0,10,4,2,12,17,3,8,11,1,180528041,2,4
7,1,11,5,0,13,18,4,9,12,4,180528042,12,9
8,2,12,6,1,14,19,5,10,0,9,180528043,19,6
9,3,13,7,2,15,0,6,11,1,6,180528044,6,7
10,4,14,8,3,16,1,0,12,2,7,180528045,16,5
11,5,15,9,4,0,2,1,13,3,5,180528046,11,0
0,6,16,10,5,1,3,2,14,4,0,180528047,3,6
1,7,17,11,6,2,0,3,15,5,6,180528048,17,2
2,8,0,12,7,3,1,4,16,6,2,180528049,8,1
3,0,1,13,8,4,2,5,17,7,1,180528050,1,2
4,1,0,14,9,5,3,6,18,8,2,180528051,5,5
5,2,1,15,10,0,4,7,19,9,5,180528052,19,8
6,3,2,16,11,1,5,8,0,10,8,180528053,5,6
7,4,3,17,12,2,0,9,1,11,6,180528054,7,0
0,5,4,18,13,3,1,10,2,12,0,180528055,4,2
1,6,0,19,14,4,2,11,3,13,2,180528056,3,8
2,7,1,20,15,5,3,12,0,14,8,180528057,5,5
3,8,2,21,16,0,4,13,1,15,5,180528058,16,4
4,9,3,22,0,1,5,14,2,16,4,180528059,2,8
5,10,4,23,1,2,6,15,0,17,8,180528060,4,2
6,11,0,24,2,3,7,16,1,18,2,180528061,24,3
7,12,1,0,3,4,8,17,2,19,3,180528062,3,4
8,13,2,1,0,5,9,18,3,20,4,180528063,8,0
0,14,3,2,1,6,10,19,4,21,0,180528064,0,0
0,15,4,3,2,7,11,20,5,22,0,180528065,0,0
0,16,5,4,3,8,12,21,6,23,0,180528066,6,8
1,17,6,5,4,9,13,22,0,24,8,180528067,17,1
2,0,7,6,5,10,14,23,1,25,1,180528068,23,7
3,1,8,7,6,11,15,0,2,26,7,180528069,0,7
4,2,9,8,7,12,16,0,3,27,7,180528070,2,1
5,0,10,9,8,13,17,1,4,28,1,180528071,0,1
6,0,11,10,9,14,18,2,5,29,1,180528072,29,9
7,1,12,11,10,15,19,3,6,0,9,180528073,10,4
8,2,13,12,0,16,20,4,7,1,4,180528074,16,5
9,3,14,13,1,0,21,5,8,2,5,180528075,0,5
10,4,15,14,2,0,22,6,9,3,5,180528076,0,5
11,5,16,15,3,0,23,7,10,4,5,180528077,23,6
12,6,17,16,4,1,0,8,11,5,6,180528078,4,4
13,7,18,17,0,2,1,9,12,6,4,180528079,9,7
14,8,19,18,1,3,2,0,13,7,7,180528080,0,7
15,9,20,19,2,4,3,0,14,8,7,180528081,0,7
16,10,21,20,3,5,4,0,15,9,7,180528082,3,4
17,11,22,21,0,6,5,1,16,10,4,180528083,22,2
18,12,0,22,1,7,6,2,17,11,2,180528084,7,5
19,13,1,23,2,0,7,3,18,12,5,180528085,13,1
20,0,2,24,3,1,8,4,19,13,1,180528086,13,9
21,1,3,25,4,2,9,5,20,0,9,180528087,3,2
22,2,0,26,5,3,10,6,21,1,2,180528088,10,6
23,3,1,27,6,4,0,7,22,2,6,180528089,0,6
24,4,2,28,7,5,0,8,23,3,6,180528090,28,3
25,5,3,0,8,6,1,9,24,4,3,180528091,3,2
26,6,0,1,9,7,2,10,25,5,2,180528092,26,0
0,7,1,2,10,8,3,11,26,6,0,180528093,2,3
1,8,2,0,11,9,4,12,27,7,3,180528094,1,0
0,9,3,1,12,10,5,13,28,8,0,180528095,1,3
1,10,4,0,13,11,6,14,29,9,3,180528096,13,4
2,11,5,1,0,12,7,15,30,10,4,180528097,0,4
3,12,6,2,0,13,8,16,31,11,4,180528098,31,8
4,13,7,3,1,14,9,17,0,12,8,180528099,3,3
5,14,8,0,2,15,10,18,1,13,3,180528100,18,7
6,15,9,1,3,16,11,0,2,14,7,180528101,1,3
7,16,10,0,4,17,12,1,3,15,3,180528102,0,3
8,17,11,0,5,18,13,2,4,16,3,180528103,17,1
9,0,12,1,6,19,14,3,5,17,1,180528104,6,4
10,1,13,2,0,20,15,4,6,18,4,180528105,4,7
11,2,14,3,1,21,16,0,7,19,7,180528106,0,7
12,3,15,4,2,22,17,0,8,20,7,180528107,20,9
13,4,16,5,3,23,18,1,9,0,9,180528108,5,3
14,5,17,0,4,24,19,2,10,1,3,180528109,1,9
15,6,18,1,5,25,20,3,11,0,9,180528110,1,3
16,7,19,0,6,26,21,4,12,1,3,180528111,4,7
17,8,20,1,7,27,22,0,13,2,7,180528112,1,3
18,9,21,0,8,28,23,1,14,3,3,180528113,3,9
19,10,22,1,9,29,24,2,15,0,9,180528114,10,1
20,0,23,2,10,30,25,3,16,1,1,180528115,16,8
21,1,24,3,11,31,26,4,0,2,8,180528116,3,3
22,2,25,0,12,32,27,5,1,3,3,180528117,12,4
23,3,26,1,0,33,28,6,2,4,4,180528118,26,2
24,4,0,2,1,34,29,7,3,5,2,180528119,29,6
19,6,0,30,14,30,13,2,9,1,2,180529030,2,7
20,7,1,31,15,31,14,0,10,2,7,180529031,0,7
21,8,2,32,16,32,15,0,11,3,7,180529032,0,7
22,9,3,33,17,33,16,0,12,4,7,180529033,16,6
23,10,4,34,18,34,0,1,13,5,6,180529034,1,7
24,11,5,35,19,35,1,0,14,6,7,180529035,19,4
25,12,6,36,0,36,2,1,15,7,4,180529036,0,4
26,13,7,37,0,37,3,2,16,8,4,180529037,37,3
27,14,8,0,1,38,4,3,17,9,3,180529038,4,6
28,15,9,1,2,39,0,4,18,10,6,180529039,18,8
29,16,10,2,3,40,1,5,0,11,8,180529040,0,8
30,17,11,3,4,41,2,6,0,12,8,180529041,6,7
31,18,12,4,5,42,3,0,1,13,7,180529042,5,4
32,19,13,5,0,43,4,1,2,14,4,180529043,5,3
33,20,14,0,1,44,5,2,3,15,3,180529044,44,5
34,21,15,1,2,0,6,3,4,16,5,180529045,34,0
0,22,16,2,3,1,7,4,5,17,0,180529046,0,0
0,23,17,3,4,2,8,5,6,18,0,180529047,5,7
1,24,18,4,5,3,9,0,7,19,7,180529048,0,7
2,25,19,5,6,4,10,0,8,20,7,180529049,6,4
3,26,20,6,0,5,11,1,9,21,4,180529050,3,0
0,27,21,7,1,6,12,2,10,22,0,180529051,22,9
1,28,22,8,2,7,13,3,11,0,9,180529052,13,6
2,29,23,9,3,8,0,4,12,1,6,180529053,29,1
3,0,24,10,4,9,1,5,13,2,1,180529054,0,1
4,0,25,11,5,10,2,6,14,3,1,180529055,4,0
0,1,26,12,6,11,3,7,15,4,0,180529056,0,0
0,2,27,13,7,12,4,8,16,5,0,180529057,7,4
1,3,28,14,0,13,5,9,17,6,4,180529058,1,0
0,4,29,15,1,14,6,10,18,7,0,180529059,7,9
1,5,30,16,2,15,7,11,19,0,9,180529060,5,1
2,0,31,17,3,16,8,12,20,1,1,180529061,3,4
3,1,32,18,0,17,9,13,21,2,4,180529062,32,2
4,2,0,19,1,18,10,14,22,3,2,180529063,22,8
5,3,1,20,2,19,11,15,0,4,8,180529064,5,0
0,4,2,21,3,20,12,16,1,5,0,180529065,5,9
1,5,3,22,4,21,13,17,2,0,9,180529066,1,0
0,6,4,23,5,22,14,18,3,1,0,180529067,1,9
1,7,5,24,6,23,15,19,4,0,9,180529068,15,6
2,8,6,25,7,24,0,20,5,1,6,180529069,20,7
3,9,7,26,8,25,1,0,6,2,7,180529070,2,9
4,10,8,27,9,26,2,1,7,0,9,180529071,26,5
5,11,9,28,10,0,3,2,8,1,5,180529072,10,4
6,12,10,29,0,1,4,3,9,2,4,180529073,29,3
7,13,11,0,1,2,5,4,10,3,3,180529074,0,3
8,14,12,0,2,3,6,5,11,4,3,180529075,14,1
9,0,13,1,3,4,7,6,12,5,1,180529076,7,6
10,1,14,2,4,5,0,7,13,6,6,180529077,10,0
0,2,15,3,5,6,1,8,14,7,0,180529078,0,0
0,3,16,4,6,7,2,9,15,8,0,180529079,4,3
1,4,17,0,7,8,3,10,16,9,3,180529080,17,2
2,5,0,1,8,9,4,11,17,10,2,180529081,5,1
3,0,1,2,9,10,5,12,18,11,1,180529082,0,1
4,0,2,3,10,11,6,13,19,12,1,180529083,11,5
5,1,3,4,11,0,7,14,20,13,5,180529084,5,0
0,2,4,5,12,1,8,15,21,14,0,180529085,21,8
1,3,5,6,13,2,9,16,0,15,8,180529086,3,1
2,0,6,7,14,3,10,17,1,16,1,180529087,1,8
3,1,7,8,15,4,11,18,0,17,8,180529088,18,7
4,2,8,9,16,5,12,0,1,18,7,180529089,8,2
5,3,0,10,17,6,13,1,2,19,2,180529090,5,0
0,4,1,11,18,7,14,2,3,20,0,180529091,3,8
1,5,2,12,19,8,15,3,0,21,8,180529092,3,7
2,6,3,13,20,9,16,0,1,22,7,180529093,22,9
3,7,4,14,21,10,17,1,2,0,9,180529094,3,0
0,8,5,15,22,11,18,2,3,1,0,180529095,11,5
1,9,6,16,23,0,19,3,4,2,5,180529096,16,3
2,10,7,0,24,1,20,4,5,3,3,180529097,5,8
3,11,8,1,25,2,21,5,0,4,8,180529098,25,4
4,12,9,2,0,3,22,6,1,5,4,180529099,1,8
